energy,ssim_indices,psnr_indices
55306.477,0.31398413,11.528852002440642
62998.652,0.40670085,10.963299192468005
50584.977,0.5352952,11.916396410953505
48868.234,0.5751548,12.066345247366293
35841.76,0.6027185,13.41271819658601
28129.64,0.6135357,14.464969796663956
21708.375,0.6176408,15.590338437397724
17238.691,0.621159,16.591568994508215
13808.183,0.6267328,17.555246541677743
12578.75,0.6280484,17.96023675356714
11143.596,0.630351,18.486358142396007
10707.807,0.631474,18.659606565708472
10401.841,0.6320216,18.785509505638437
10114.713,0.6335148,18.907076203727456
9820.789,0.6344704,19.03514776596216
9628.381,0.63563496,19.12107946411875
9205.451,0.6367447,19.31616147734791
8895.356,0.63687015,19.464978223545614
8613.426,0.63749284,19.604852825154953
8248.422,0.63868254,19.792903670653548
8020.2725,0.63962203,19.9147205969766
7854.48,0.6402774,20.005437395880136
7659.254,0.6409816,20.11474725600366
7530.167,0.64132756,20.188565814333785
7409.0913,0.6416392,20.258962277836083
7208.708,0.6422958,20.378037602987117
7049.1206,0.64270306,20.475262394558975
6875.5156,0.6425114,20.583559136029752
6687.8574,0.6417281,20.70374153416923
6563.913,0.6406625,20.784983611449107
6425.6006,0.6399281,20.877474376538025
6298.0283,0.6395411,20.964565681732825
6134.3853,0.6394002,21.078901408173607
5987.09,0.63924605,21.184454143033907
5848.416,0.63927406,21.286228787771858
5678.8945,0.6394122,21.413973989765857
5540.3574,0.63934535,21.52123367541507
5412.8926,0.6395739,21.622317510125594
5288.0156,0.6405249,21.72368447897208
5176.5156,0.6413238,21.81623638205764
5050.899,0.64189297,21.92292488602145
4934.1772,0.64313436,22.024464260155277
4809.417,0.64516515,22.135687152383134
4688.893,0.64707476,22.245908337060722
4583.4546,0.64902705,22.344682749213128
4497.855,0.6505819,22.426557106270728
4411.9346,0.65121084,22.51032083243008
4334.3516,0.65209055,22.58737003604034
4236.7363,0.65426105,22.686297119187792
4148.964,0.65627307,22.777214841084806
4065.2578,0.65778,22.865730763303795
3989.6626,0.65914005,22.947250123725816
3917.6157,0.6610853,23.026393424807083
3836.888,0.6634302,23.116820584129933
3761.8247,0.665733,23.202626494966463
3678.862,0.66831595,23.29947671840219
3607.3262,0.6712804,23.38475763850324
3544.248,0.67400455,23.46137072426718
3479.0837,0.6764531,23.541962753303963
3420.2896,0.67857844,23.61598289492104
3370.6548,0.6806635,23.679468940348638
3339.4607,0.6818745,23.719848417352097
3390.9111,0.68212646,23.65344738270638
