energy,ssim_indices,psnr_indices,fidelity
0.8998663,0.27834654,12.046115713991892,56957.297
0.88974017,0.3995835,13.017405235265876,47105.58
0.8882712,0.4307736,13.103178335664849,46371.234
0.88784415,0.43820015,13.688571963032736,41519.188
0.8850754,0.46149865,14.274107306943442,37271.29
0.88578767,0.45996034,13.937150882024493,39654.21
0.88483405,0.47137424,14.052159788679411,38813.18
0.88512915,0.46993947,13.901967567642306,39900.29
0.88445556,0.47639224,14.205011881687552,37741.684
0.88455063,0.47452673,13.928131603882878,39703.086
0.8846097,0.4749824,14.045724660752782,38854.93
0.8849366,0.47957674,13.70556644835415,41386.125
0.8843838,0.47937617,13.81817671968031,40531.836
0.88373494,0.4818139,14.012887906738815,39092.227
0.8838502,0.48254552,14.22006342033536,37632.875
0.8836004,0.48076224,14.413755405247507,36336.977
0.88319904,0.4833559,14.649937616246213,34823.66
0.8832834,0.48226765,14.442852402511349,36154.914
0.88179886,0.48361096,14.96116928115814,32968.52
0.8833092,0.47673246,14.385853375255744,36517.17
0.88213956,0.4824939,15.071786112373234,32347.566
0.88224506,0.480027,14.950418946927083,33045.79
0.8815933,0.47791144,15.266323605217224,31236.105
0.8813179,0.47833315,15.427081207519272,30398.904
0.8801731,0.48234352,15.75377123419305,28764.91
0.8806265,0.48378047,15.2398063439621,31375.29
0.88057667,0.4793203,15.673347460432215,29161.209
0.88043237,0.4884782,15.424629068632665,30403.102
0.8805073,0.48639128,15.272439731096272,31191.316
0.8794183,0.4894178,15.80192643154956,28534.807
0.8802172,0.48490366,15.698511327174655,29034.3
0.8791037,0.48637787,15.975193401676059,27722.605
0.8797612,0.48926306,15.596531141477314,29535.383
0.879633,0.49104366,15.752953491599293,28784.184
0.8783647,0.49024418,16.316315532659566,26224.611
0.87960327,0.48578927,15.469577450000083,30180.113
0.87819827,0.48820174,15.985926874943422,27679.39
0.877625,0.4946457,16.10427415149403,27132.363
0.87828064,0.49171352,15.709247034615391,28976.297
0.8756523,0.49613282,16.323252735892645,26192.545
0.87832034,0.4842584,15.242359378748976,31353.826
0.87779546,0.48494306,15.733469799771953,28865.328
0.87883276,0.4859071,15.019753441181976,32621.666
0.8780382,0.4857328,15.762947675370238,28727.96
0.8770863,0.48756137,15.937785933560276,27890.273
0.8752431,0.49320427,16.21776742628005,26639.93
0.8760644,0.49121037,15.593225883383049,29537.578
0.87646955,0.47769716,15.41339025017223,30468.09
0.873564,0.49188876,15.689221385149043,29059.164
0.8726449,0.48790577,15.874548169694418,28209.414
0.8748092,0.483134,15.235460468464241,31424.781
0.87767845,0.47135118,14.958202567854336,32937.438
