energy,ssim_indices,psnr_indices
62985.43,0.14374514,10.96421076463015
59964.84,0.16823192,11.177644855350376
48140.758,0.1805058,12.131482399510746
91207.97,0.17177522,9.356283868079943
43696.64,0.19123967,12.552131251474776
34193.0,0.19271024,13.617239691079835
28532.152,0.19355084,14.403266292534418
22431.598,0.19471224,15.448009734219736
17798.48,0.19516902,16.4527827961463
14457.391,0.1968531,17.35571241511316
12618.324,0.19882494,17.946595028632142
11208.002,0.19965567,18.46132966251108
10834.57,0.20014179,18.608495208255377
10668.539,0.2009659,18.675562458050344
10859.147,0.20148976,18.59865483660178
10765.621,0.20142941,18.636221006524067
10600.107,0.20193382,18.70350901566967
10330.486,0.2025839,18.815404122373025
10099.868,0.20315804,18.913454709060364
9840.35,0.20391868,19.02650651755222
9642.539,0.20446546,19.11469753131216
9395.059,0.20502508,19.227616480829525
9101.002,0.20574051,19.365719682880172
8769.985,0.2066076,19.526623195218736
8465.45,0.20754015,19.680110944940413
8314.957,0.20808618,19.758012007703137
8239.279,0.20846939,19.797719600188984
8157.661,0.20851605,19.840955122363933
8063.202,0.20870775,19.89153616626816
7857.6265,0.20956592,20.00369797827731
7664.7437,0.21038,20.11163541862024
7463.023,0.21120425,20.227463987611017
7300.0586,0.21193427,20.32334800461478
7203.3623,0.21247937,20.381259064306107
7094.1245,0.21313389,20.44762369126261
6946.0776,0.21383898,20.539215555033863
6767.7383,0.21462159,20.65217629182369
6601.713,0.21537973,20.76004538899758
6491.66,0.21615112,20.833054027908545
6379.311,0.21718676,20.908874011106
6265.909,0.21826494,20.986770664252038
6203.593,0.21917497,21.03017883108132
6107.955,0.2202279,21.09765334868317
6016.7197,0.22106272,21.163014112839335
5936.5273,0.22173083,21.221287132670163
5874.9355,0.22236677,21.266580855649444
5832.8735,0.22300512,21.297786024447213
5775.6006,0.22378975,21.340640356696635
5726.552,0.22452112,21.37767963294096
5689.124,0.22521846,21.406157553581263
5638.7324,0.22594441,21.444796934605755
5592.173,0.22654605,21.480805724248164
5542.161,0.22720774,21.519820078956883
5501.1997,0.2278675,21.55203747209454
5468.333,0.22852339,21.57806223806778
5429.022,0.2292779,21.609395687835526
5396.837,0.22996604,21.635219122588047
5363.661,0.23062205,21.661998568812713
5331.1807,0.23124003,21.688377880073794
5307.6636,0.23176026,21.707577787781425
5282.623,0.2322927,21.728115754198246
5259.6733,0.23283537,21.747024010740027
5231.725,0.23348355,21.77016232833676
5208.0503,0.23412623,21.789859933972274
5186.342,0.23472576,21.80800064329763
5164.713,0.23527622,21.826149713108745
5144.6055,0.23580919,21.843091054973307
5124.367,0.23637049,21.86020962860994
5106.4785,0.23692505,21.87539630665701
5087.6753,0.23751295,21.89141770311349
5071.6035,0.23806576,21.905158702613356
5053.3135,0.23860478,21.920849597339842
5035.9385,0.23909701,21.935807129467797
5018.7324,0.23956949,21.95067135628479
5003.7812,0.24003662,21.96362883774629
4988.374,0.24054073,21.97702122489
4974.3105,0.24102367,21.989282758726127
4959.357,0.24146974,22.002358132367902
4945.21,0.24187869,22.01476469456136
4931.4385,0.24230985,22.026875631475527
4918.534,0.2427829,22.0382548740271
4905.104,0.24329679,22.050129732701166
4892.8604,0.24382149,22.060983602812687
4880.6377,0.24434723,22.071845824449916
4868.1357,0.244859,22.082985146394215
4856.3164,0.24536836,22.093542095458055
4844.4287,0.24588917,22.104186259464026
4832.742,0.246376,22.11467552625487
4821.0215,0.24680482,22.12522110361789
4809.1357,0.24721016,22.135941688618743
4797.8687,0.24759954,22.146128252727372
4787.0938,0.24801362,22.155892239157158
4776.596,0.2484702,22.165426371743912
4766.2964,0.24890132,22.174801327922683
4756.4307,0.2493133,22.183799858068415
4746.833,0.24975955,22.192572532454072
4736.946,0.2502567,22.201627770852596
4727.125,0.25076956,22.210640871353547
4717.418,0.25119257,22.219568634128194
4707.8613,0.25158003,22.22837535811482
4698.5293,0.2520114,22.23699243920851
4689.5186,0.25247157,22.245329384106295
4680.703,0.25292268,22.253501120540456
4672.4204,0.25329643,22.261192986877674
4665.5664,0.25376955,22.267568327482557
4665.497,0.2540349,22.267632763024274
4676.3613,0.25441167,22.257531465136736
4723.3447,0.25408408,22.214115012004388
4668.15,0.25503886,22.265163887854968
4626.6494,0.255762,22.303946089771458
4620.1846,0.25610816,22.31001840888519
4631.182,0.2562066,22.29969317163613
4640.7065,0.2564822,22.29077059130907
4604.055,0.25729766,22.325206565528653
4594.6396,0.25783893,22.33409703924702
4612.298,0.25766698,22.317438549055836
4593.0107,0.25820044,22.335636945153183
4577.6016,0.25940368,22.350231854084917
4578.158,0.25893763,22.349704124136878
4567.3164,0.259465,22.360000865203034
4547.3164,0.26039377,22.379060306636212
4542.8906,0.26052347,22.383289003377204
4546.1846,0.26100793,22.380141209804442
4540.2227,0.26098737,22.385839949538436
4523.501,0.26222512,22.401864477446377
4518.765,0.26170442,22.4064140247122
4513.5234,0.26254615,22.411454369226828
4505.6826,0.2630786,22.419005804566538
4499.924,0.26310524,22.42456039504466
4490.9443,0.26368427,22.433235013247224
4496.6167,0.26481113,22.427753174124085
4537.9746,0.2628805,22.387990911359715
4563.3735,0.26545414,22.363751639533245
4650.2017,0.26208326,22.28189403422677
4542.178,0.26457536,22.38397024364324
4496.869,0.26489407,22.427509215248985
4523.6304,0.26370665,22.4017408701747
4465.7627,0.26640353,22.457654946512825
4459.943,0.26581514,22.463318943206314
4494.5464,0.26511285,22.429753237697824
4447.068,0.26764616,22.475874369427903
4428.4883,0.26713333,22.494056765137202
4454.665,0.26675847,22.468461593968353
4424.0957,0.2687755,22.49836676181825
4406.3213,0.26835853,22.51584991383448
4421.141,0.2679337,22.50126815981664
4404.026,0.26960525,22.518113379171645
4385.398,0.26970837,22.53652162424928
4391.551,0.26954642,22.530432464091533
4385.8945,0.2709205,22.53603037668853
4371.919,0.27085057,22.549890988983844
4365.7734,0.27101076,22.55599989419479
4365.465,0.2721455,22.55630680331818
4361.756,0.27189422,22.559997841900046
4350.835,0.2724609,22.570885339257206
4343.24,0.27313074,22.57847304452695
4341.6426,0.27302143,22.58007117044405
4339.8994,0.2739054,22.581815414587595
4336.7085,0.27378634,22.5850093676033
4327.8467,0.27444538,22.593892828320232
4318.994,0.27448317,22.602785905321472
4312.605,0.27512196,22.60921493900053
4308.2383,0.2752681,22.61361456898152
4305.075,0.27570766,22.616804287096578
4301.6714,0.27611807,22.62023955293868
4300.791,0.2760557,22.621128497231425
4305.0884,0.27738538,22.616791061015647
4337.9404,0.27510855,22.58377620184919
4392.7354,0.27906317,22.529261405342368
4563.2476,0.27090397,22.36387129975039
