loss,ssim_indices,psnr_indices
0.42019615,0.10912248,8.88976552346114
0.40811667,0.12550713,8.766487868279897
-0.32980904,0.17100137,9.964043351949263
-0.31323463,0.18182223,9.772365914129043
-1.2711968,0.22993414,12.128611409999827
-1.245771,0.23279293,11.827697051591834
-1.2560073,0.24996151,11.686158850566578
-1.4392631,0.25788584,12.199327648297615
-1.3477697,0.24573278,11.776270525423696
-1.3648885,0.23542015,11.770913845243033
-1.3562169,0.22617924,11.64764704019888
-1.5035832,0.21388067,12.134810675728907
-1.4529451,0.19365989,11.97707667880778
-1.4698021,0.19324575,11.95324744873512
-1.4982698,0.2104816,12.184985239607862
-1.6339802,0.18587549,12.729182608324656
-1.7289932,0.16505489,13.12410840297135
-1.7500913,0.18620698,13.20259444533962
-1.7896036,0.16771866,13.45891754120146
-1.8954738,0.18041122,13.926662763135463
-1.811039,0.17836832,13.545799981693412
-1.9605939,0.19249643,14.094431232027889
-1.9550936,0.17638846,14.151248090940173
-1.9004033,0.17945327,13.828600974239958
-1.9173934,0.17834501,14.159311606362806
-1.9737448,0.18917388,14.26509988533606
-1.9116011,0.17897809,13.846793935163419
-1.8402681,0.16206196,13.662559134182066
-2.0217304,0.18243778,14.566635495324043
-2.0180728,0.17790766,14.393426427147222
-2.0098891,0.17668729,14.416393252440836
-2.0340106,0.18895495,14.619947695994806
-1.931541,0.17283906,13.987338823138664
-2.0233533,0.1733044,14.609838234567185
-2.0874765,0.19552104,14.927414550260092
-1.9969038,0.17469102,14.357124296573097
-2.0231476,0.1819119,14.403597571316203
-2.0529184,0.1761808,14.67493541648009
-2.0494554,0.18606515,14.57754541527964
-2.0203924,0.18146783,14.404688201257436
-2.0430903,0.1837687,14.435923905364948
-2.0437381,0.16529049,14.476741094339685
-2.04846,0.15880775,14.619266444991565
-2.0247653,0.16463882,14.505176934572123
-2.0895834,0.16397117,14.938470264205513
-2.0528228,0.16525333,14.710582913311338
-2.086525,0.16424155,15.071594296118047
-2.0963302,0.16890816,15.038826312132958
-2.0288525,0.16181369,14.513821359709716
-2.114953,0.16698752,15.369701600535459
-2.07366,0.1691541,14.923945931081253
-2.0831707,0.1622389,15.048035686108197
-2.0567138,0.16714095,14.920199698603495
-2.0537815,0.17351888,14.848076318969884
-2.058457,0.17044151,14.80004614984973
-2.0734527,0.16826506,15.0427668854557
-2.0922823,0.18048471,15.256672018853283
-2.1018524,0.1689443,15.268902129927227
-2.064815,0.1709546,15.089863281154653
-2.0703387,0.170466,15.10356899786302
-2.0899284,0.1679141,15.247013296443615
-2.1311278,0.1820203,15.579856744318548
-2.0979242,0.16810726,15.368817060977326
-2.1296344,0.17312509,15.728729496205956
-2.1087174,0.16363943,15.395095791928803
-2.128781,0.1767741,15.58737482810367
-2.135577,0.18232834,15.686432102788112
-2.141983,0.17676252,15.759015983023875
-2.1252484,0.17787735,15.564011543849997
-2.125831,0.18723981,15.594744169358446
-2.1209621,0.1831411,15.602527817589982
-2.1593368,0.17700855,15.908131545129976
-2.1059241,0.1783667,15.647116229443924
-2.1320162,0.17271781,15.876222079793202
-2.1652646,0.1743192,16.16444527165825
-2.1189322,0.17503874,15.646879668085369
-2.1232872,0.17685951,15.67382749274046
-2.1134286,0.17747349,15.63004891469105
-2.178195,0.17983551,16.265677482667
-2.111364,0.17521705,15.497261447524231
-2.1538439,0.17473507,15.906435777078896
-2.1352487,0.17411333,15.751348536126613
-2.1388469,0.17946486,15.846754321445601
-2.1441543,0.18505597,15.77344251620296
-2.1195168,0.1929174,15.53319976599429
-2.1434994,0.18650474,15.798638897895456
-2.1722717,0.18372001,16.051812982389293
-2.1485567,0.18024457,15.809738565103919
-2.1254766,0.17137699,15.782376268946017
-2.1542568,0.17537272,16.01277642282195
-2.1671705,0.17654252,16.06956057873091
-2.1738777,0.18185073,16.14314136986695
-2.1549597,0.18055467,16.044509630812986
-2.1823688,0.17926121,16.198561886341007
-2.1552453,0.18130405,15.921801122046409
-2.1864412,0.17884405,16.257155492273036
-2.1655688,0.18063402,16.039036815468034
-2.168674,0.17549811,16.10604104895933
-2.141956,0.17897318,15.934861134872273
-2.1961243,0.1822784,16.357530269577715
-2.196653,0.17926669,16.357476756917492
-2.1904302,0.1809349,16.254692506667162
-2.1804473,0.18165381,16.14377218595001
-2.1738534,0.18301569,16.16002990481479
-2.1845803,0.182853,16.312416247021723
-2.1979406,0.18236202,16.387648145803574
-2.1961677,0.1763819,16.28032802984623
-2.1765895,0.17333575,16.269642406781056
-2.1828666,0.18437171,16.366256008303562
-2.1254315,0.17926513,15.702470736634428
-2.178919,0.1800734,16.16777240840095
-2.1958933,0.18383741,16.247795333592997
-2.188312,0.17679912,16.18224483827089
-2.1790078,0.18224485,16.15998481526162
-2.174405,0.1773603,16.225617774587732
-2.152893,0.17847227,15.828319571831965
-2.2251287,0.18035586,16.603994000184453
-2.1799417,0.17942955,16.194634234304598
-2.1840198,0.17816289,16.198244852657457
-2.1664732,0.18025993,16.14713327143518
-2.1524332,0.17997904,15.901069058560061
-2.1764438,0.17857218,16.191039650302855
-2.21533,0.17536736,16.54675416616368
-2.2009983,0.17447054,16.445420485880376
-2.206954,0.17090495,16.415855654458458
-2.1802375,0.17332314,16.162113921924707
-2.220921,0.17294008,16.58740902981856
-2.219142,0.1737312,16.469981278301347
-2.2081075,0.17232762,16.277544073170382
-2.1871138,0.17315023,16.13576455164793
-2.1933665,0.17230928,16.265651877403464
-2.2114086,0.17288293,16.353599956275684
-2.2024693,0.17311226,16.37923164411704
-2.2207503,0.16960251,16.678312618837523
-2.2003088,0.16969518,16.40587345033072
-2.1969829,0.17226295,16.360132727871814
-2.23178,0.17186512,16.743815169610876
-2.2098236,0.1701156,16.53050292640582
-2.199205,0.167078,16.421918061030155
-2.2248566,0.17236175,16.6745409857532
-2.2201648,0.1699487,16.495636765886236
-2.226558,0.17082061,16.612612219721417
-2.2370703,0.1639273,16.72037161799293
-2.231709,0.16937001,16.667009960959927
-2.219658,0.17073882,16.517053687582564
-2.2157683,0.16931117,16.520113631640275
-2.2310352,0.16797785,16.576109246497232
-2.2220428,0.16850342,16.532134743519794
-2.2283385,0.1646068,16.66096774208326
-2.217128,0.16795933,16.523601046624865
-2.2171788,0.16643389,16.38205843207668
-2.1997905,0.16336416,16.332283465013347
-2.2021914,0.1623133,16.389265972072565
-2.2163851,0.1663207,16.45669434331342
-2.219211,0.17505486,16.63692692024107
-2.2137356,0.16775973,16.488269130866346
-2.2224903,0.16615425,16.51026177463204
-2.2358937,0.16528666,16.618412180617817
-2.2324002,0.17139506,16.540099298602506
-2.2393603,0.16566737,16.603250234188533
-2.2174017,0.16033702,16.426300839818037
-2.2489989,0.16746688,16.738072087537763
-2.2285159,0.16708468,16.61588225256342
-2.2333097,0.16605793,16.685634121910237
-2.227892,0.16493697,16.672733507089788
-2.2349849,0.16646333,16.675664393148125
-2.2346377,0.16333307,16.651952305306168
-2.2322845,0.16527236,16.52264004224886
-2.216032,0.16493762,16.5744975018777
-2.2296395,0.16018839,16.529810235775198
-2.2364643,0.16272306,16.658470126682957
-2.2385912,0.1625854,16.62252055086952
-2.2018812,0.16384105,16.12637325006726
-2.2319324,0.16317432,16.62332901846054
-2.238697,0.16333655,16.691661354323053
-2.240338,0.16291338,16.66951316643962
-2.250175,0.16994198,16.802144920454975
-2.2344136,0.16287918,16.59389159263235
-2.2335114,0.16329879,16.574115165468363
-2.2440968,0.16725677,16.68913696685858
-2.2423434,0.1606542,16.743433582812674
-2.2415648,0.16394947,16.636005194578722
-2.2464507,0.16736434,16.693397954790075
-2.2439163,0.16683011,16.736534494585865
-2.2383783,0.16961546,16.676543544020184
-2.245368,0.16444774,16.82818838979195
-2.2460313,0.16449064,16.942114714767204
-2.2399774,0.16326368,16.72002798697226
-2.2490368,0.16491805,16.880671941391526
-2.2361355,0.1591916,16.723273803243515
-2.2534604,0.16283432,16.8219133900354
-2.2481902,0.16845405,16.789764420519976
-2.2415063,0.15797712,16.777165275097627
-2.2233915,0.15677722,16.567236545405894
-2.246139,0.16235095,16.69662968874916
-2.2542338,0.15640502,16.751708291633737
-2.2634282,0.16039082,16.8061723664113
-2.2498155,0.16262211,16.625892351789986
-2.2372503,0.16126223,16.618287413516374
-2.2513146,0.16256963,16.80033774465088
-2.2484787,0.16167925,16.740798829062307
-2.2456813,0.16032036,16.905637002201484
-2.2596595,0.16067137,17.007579112922524
-2.2463138,0.16636252,16.877595039293276
-2.2784238,0.16731924,17.13729824938408
-2.2651803,0.16177101,16.867385844925217
-2.2591867,0.165707,16.823430118254343
-2.25286,0.16605493,16.741533258817864
-2.266199,0.16925539,16.94522253180317
-2.2449281,0.16510117,16.73542222478553
-2.2574725,0.16202839,16.928632810376097
-2.238588,0.16366138,16.72818553077534
-2.2626462,0.16972081,16.974156435881426
-2.2568107,0.1610775,16.846621381759846
-2.2543697,0.17257786,16.792362105677803
-2.2599967,0.1640535,16.818788571959136
-2.2586823,0.16759849,16.885707084515744
-2.2532835,0.16585883,16.706226357618696
-2.257837,0.1704217,16.954753461385256
-2.277848,0.16613334,17.174841726610246
-2.263497,0.16587085,17.063872355656972
-2.257813,0.16667922,17.043540107633856
-2.261629,0.16484605,16.99639948728354
-2.251533,0.16823326,16.836404506966755
-2.2512987,0.16314755,16.61745177818874
-2.2635334,0.16179304,16.839336218102883
-2.265576,0.16403736,16.96639386704716
-2.234676,0.16096045,16.66496299163892
-2.2509122,0.16070075,16.839431615099652
-2.2636847,0.16358225,16.967383084745087
-2.278235,0.15932454,17.048952068077977
-2.236725,0.16258387,16.64769414271597
-2.2597847,0.16673703,16.79142947350379
-2.2768407,0.15989238,16.93670109564625
-2.2596397,0.1616039,16.814518272953006
-2.2775292,0.15954685,16.987727190370016
