energy,ssim_indices,psnr_indices
72478.44,0.072833635,10.354523480690627
78105.664,0.08315982,10.029786383834907
73532.02,0.09548315,10.291846465790597
105793.65,0.075950064,8.712015803852854
76356.31,0.092458904,10.128162610050033
61123.54,0.09782975,11.094526894211851
56920.367,0.10061713,11.403934929314198
52296.207,0.10307994,11.771909685225644
50105.332,0.10471334,11.95777238457067
48891.8,0.10624632,12.064251309339706
48415.434,0.10774841,12.106773590494043
47864.566,0.10907185,12.156470509498035
46851.28,0.11041713,12.249396983561027
46099.023,0.111593924,12.319694780807298
45784.92,0.11237685,12.349386866589583
45238.117,0.11318549,12.40156670521171
44906.094,0.11380639,12.433558871651476
44619.992,0.11435208,12.461316633063849
44200.824,0.11489416,12.502307893467668
43892.254,0.11533892,12.532732929229095
43670.953,0.11577487,12.55468484650861
43258.156,0.116398275,12.595931615239923
42864.047,0.1170292,12.635679725547558
42527.51,0.117814384,12.669912096403028
42096.81,0.118853636,12.714120143287273
41716.68,0.119888306,12.753514726520617
41262.83,0.12099657,12.801021668298414
40799.523,0.12220764,12.85006096622656
40365.973,0.12336466,12.896457292149861
39846.43,0.12455112,12.952717475585938
39410.57,0.12623768,13.000484618090782
38867.86,0.12859328,13.06070565075526
38351.062,0.13115272,13.118838035066073
37537.453,0.13451423,13.211963713207064
36703.54,0.13892032,13.309532411914189
35797.66,0.14414023,13.418065164803867
35009.016,0.14941187,13.51481218607864
34160.285,0.1550701,13.6213970836375
33209.81,0.16183089,13.74394786291254
32280.281,0.16894871,13.867238657082417
31340.898,0.17629264,13.99549741758241
30443.68,0.18379855,14.121640305557328
29628.672,0.19146825,14.239489997728384
28813.229,0.19955237,14.360692375485808
27919.143,0.208117,14.497590944265408
27093.37,0.21684073,14.627981656313889
26285.707,0.22555156,14.759415164237959
25476.637,0.2344227,14.895190935632726
24755.88,0.24340133,15.019827892961494
24058.627,0.25257263,15.143903513686608
23417.9,0.26094553,15.26113193072242
22815.053,0.26990646,15.374396936599439
22255.666,0.27878138,15.482205963296478
21733.621,0.28766596,15.585290487915916
21250.68,0.29679507,15.68288375593382
20771.832,0.30535203,15.781863835096434
20335.943,0.313991,15.873968367589912
19960.102,0.32100907,15.954984463512092
19777.486,0.3290104,15.994900770974978
20052.586,0.32996324,15.934908130706642
20385.406,0.33688912,15.863418367975918
19134.137,0.34264258,16.138523157101183
18513.258,0.35311046,16.281783268307844
18751.148,0.3581797,16.226333462735
17728.766,0.36715946,16.469826909698654
17862.926,0.37291145,16.43708592103488
17237.14,0.37899598,16.591959153194175
17043.965,0.38696924,16.640905295242906
16649.137,0.394495,16.742694480811622
16372.144,0.40124312,16.81555636289421
16112.023,0.40662718,16.885110634647447
15830.903,0.41209355,16.961554738050605
15549.918,0.4201775,17.039330594436194
15329.425,0.42662334,17.101353251538654
15021.957,0.43059382,17.189346634069793
14873.23,0.43602893,17.23255893230285
14621.268,0.44207975,17.30676143866198
14404.172,0.4490366,17.37172885691507
14270.879,0.450269,17.412104661995265
13974.186,0.45818058,17.503346573571534
13879.912,0.4622382,17.5327447871581
13637.541,0.46751165,17.609251124459032
13558.464,0.46903738,17.63450687268205
13439.695,0.47702494,17.672717332555603
13639.639,0.4747642,17.60858311712806
13902.797,0.48112693,17.52559004008415
14173.064,0.4728838,17.441974032169096
13071.887,0.4899687,17.793228789718942
12694.926,0.49701634,17.920310443393426
13042.055,0.4897982,17.80315149643554
12445.765,0.5009505,18.006396207371335
12425.551,0.5084651,18.013455408779983
12376.405,0.5058966,18.03066643039065
12019.949,0.5121395,18.157585593009415
12125.084,0.5196841,18.119764056770972
11811.7705,0.52054244,18.233461814792207
11663.736,0.522365,18.28823501815773
11657.564,0.52925175,18.29053328920598
11410.092,0.5325362,18.383720226240236
11377.6,0.53245705,18.39610538222779
11237.348,0.5383925,18.449973389296485
11183.529,0.5413993,18.47082304923134
11485.709,0.53653324,18.35503330297383
12253.256,0.5285404,18.07409690608862
12458.904,0.52699447,18.00181308631195
11530.592,0.5379901,18.338095727512933
11295.497,0.5407243,18.427558341618198
11212.706,0.5446586,18.45950729421058
10914.66,0.55093783,18.57650956880027
11048.727,0.54959816,18.523489492906425
10650.426,0.5580165,18.682942174429904
10676.283,0.56170183,18.672410889750196
10471.883,0.56355566,18.75636402716067
10379.776,0.56731606,18.794731710220823
10288.721,0.571191,18.832997851874545
10143.221,0.5723509,18.89485299273914
10083.006,0.57606965,18.920711376217405
9955.351,0.5783391,18.976046062285263
9846.823,0.5813218,19.023650351399432
9743.111,0.58487624,19.06963520346929
9752.707,0.5852685,19.06536017604895
9588.746,0.5906914,19.138993567971834
9582.887,0.5905147,19.141648632324383
9606.541,0.59297204,19.130941691634035
9930.767,0.58838725,18.986784318736017
10391.242,0.58272976,18.789937262260825
10200.486,0.585574,18.870402768332905
9482.787,0.5956294,19.187251550956187
9484.088,0.5958275,19.186655644954115
9326.387,0.60048044,19.259477068825742
9188.641,0.60318446,19.3240989137243
9289.868,0.60558754,19.276516240341735
8971.527,0.61012936,19.427947939711224
8903.491,0.611952,19.46100857162717
8920.948,0.6147604,19.452501237516277
8775.136,0.61588854,19.524073119098965
8802.326,0.6196277,19.51063732361966
8691.792,0.6190491,19.565518478950665
8806.74,0.6222703,19.50846023351211
9059.258,0.61545414,19.3856854481244
9173.223,0.6224548,19.331392637305772
9382.791,0.6081223,19.2332911628997
8585.335,0.6283934,19.619039573452625
8588.262,0.62844306,19.617558687699916
8717.609,0.6254781,19.552637722642384
8466.98,0.6297884,19.67932579783403
8357.951,0.6347426,19.735613699159394
8406.924,0.63184446,19.710240803763135
8151.5513,0.6401584,19.844209112392843
8263.787,0.6380124,19.784820446761625
8242.524,0.63860327,19.796009326702897
8224.446,0.6384972,19.805544820915276
8259.49,0.64239866,19.78707971857728
8095.6934,0.6414916,19.87407101655351
7824.094,0.6490361,20.02227106570364
7853.2827,0.65025395,20.006099391214626
