mse,ssim_indices,psnr_indices
0.06917181,0.30621386,11.758113250698115
0.07976424,0.4153616,11.117708999246283
0.062230848,0.5408026,12.233812623556165
0.10573226,0.5154893,9.860577122999791
0.07624274,0.5736024,11.319222680815898
0.061727934,0.6032532,12.270894546733949
0.05369885,0.62500423,12.904338076298124
0.05248396,0.6234916,13.007676639542204
0.048626237,0.6264463,13.357289893009014
0.048018377,0.62663084,13.41459664506747
0.0439865,0.6290204,13.817789958150863
0.039277937,0.62797624,14.339626971392416
0.03535483,0.6279492,14.831949970210612
0.04126449,0.62151647,14.11232208031399
0.031079002,0.6253789,15.434200343668529
0.03140408,0.62408507,15.38415057146382
0.044490367,0.5957652,13.764561299856322
0.034260385,0.6064033,14.978203630788293
0.036196265,0.6227221,14.721280764151686
0.029544171,0.62586856,15.672031644453083
0.0318307,0.6206348,15.318698757193205
0.023010958,0.62955457,16.87207532442414
0.026468158,0.6235399,16.19668251143124
0.02606496,0.63700867,16.26900187293526
0.02800271,0.62646776,15.928205264175636
0.024080168,0.6308566,16.651993694596918
0.020540997,0.63781166,17.429678825167315
0.027120924,0.6313846,16.078557562223452
0.023382416,0.63776934,16.796631313013904
0.022309614,0.64118236,17.025623555366348
0.020557854,0.6335556,17.426670236344876
0.019905888,0.6354649,17.58353605113633
0.01787663,0.63951135,18.12368715143216
0.019354379,0.6358931,17.72345273218268
0.01812756,0.6360926,18.052229063183514
0.020250835,0.6353479,17.50017554943804
0.01898819,0.63878965,17.818549683903047
0.021949586,0.63058037,17.105223510952353
0.019774463,0.6412892,17.617327437950895
0.018250104,0.63930815,18.015461452239066
0.018385466,0.6403966,17.98144130879551
0.018539397,0.6409932,17.938975218588965
0.019578185,0.6388348,17.66576227822059
0.018624287,0.6410525,17.91450909533033
0.017523577,0.64129573,18.223275259959003
0.017324183,0.640917,18.279245177321542
0.018448442,0.6394746,17.966139036671116
0.017725684,0.64423007,18.164754765905066
0.016146988,0.6447727,18.639394138199897
0.017677678,0.6354261,18.177471293787836
0.019189458,0.64282244,17.766418052578658
0.016839728,0.638726,18.424946291500785
0.016737975,0.64058983,18.455955114994243
0.017861906,0.63867944,18.127210514760105
0.017780056,0.63545305,18.148103293934696
0.016262582,0.6410836,18.601315117980523
0.015383301,0.64746433,18.890272051521983
0.020082869,0.6464568,17.540386021829253
0.017022178,0.64295256,18.3704658775792
0.016061138,0.6367504,18.66576768897727
0.017378734,0.64758897,18.265985833725594
0.017442008,0.64145,18.245936585043914
0.016914887,0.63799876,18.402288965264496
0.017905336,0.6382813,18.11262592668141
0.016651874,0.6375769,18.480850230674623
0.016612811,0.6400384,18.496778068488116
0.016682401,0.64095885,18.47436826652743
0.01569101,0.6482208,18.78977443372094
0.017206678,0.643147,18.31475207322722
0.01627047,0.6451924,18.600433151120697
0.015891518,0.64561546,18.72150498699995
0.015079386,0.6428376,18.990450623187456
0.018906962,0.641149,17.840606153762703
0.015168141,0.642478,18.961582361764254
0.014801808,0.6428275,19.087924436112147
0.016982293,0.6418659,18.3792768096353
0.015188313,0.6404404,18.953213384223503
0.015025524,0.63968116,19.009403129977407
0.017059205,0.6481616,18.359473048777318
0.015753819,0.6496041,18.765921411745087
0.016250191,0.6353758,18.605828897886088
0.014347928,0.64470977,19.251726582648928
0.015309781,0.6475227,18.914079183976106
0.015658185,0.64285403,18.79731853606819
0.0152052175,0.64376146,18.948429847496072
0.014935002,0.64589834,19.041012396732174
0.016027905,0.64387107,18.67569814067069
0.0140311215,0.6406705,19.36791757692692
0.0144765675,0.64287806,19.206310398510094
0.014508913,0.64440984,19.191583889623793
0.015820596,0.6436868,18.74460091496283
0.014939606,0.64915174,19.040175076800665
0.014742931,0.6408107,19.112086112374783
0.01397319,0.6448125,19.390916329018594
0.014079589,0.6431288,19.35015997642177
0.01507818,0.6428762,18.991588202199498
0.013744488,0.64647466,19.478942603821714
0.013386838,0.65044385,19.618006032426027
0.016865347,0.6375308,18.41721649386568
0.014715513,0.64821106,19.11809813805802
0.015110249,0.6472666,18.980361641347915
0.013161167,0.6455124,19.70889262004613
0.013603071,0.6448634,19.53440531458184
0.015181785,0.6473129,18.954848995056295
0.014177556,0.64087147,19.31096035343219
0.014904102,0.65270716,19.054657164472054
0.014264929,0.64209986,19.281828314428964
0.015797723,0.6470775,18.750873519405
0.015397987,0.6413407,18.884689910477295
0.014070999,0.63939214,19.35375454277944
0.015315188,0.6401362,18.912635272670663
0.014176013,0.63946533,19.31244978094998
0.015426307,0.64194316,18.872592416523077
0.013365526,0.6474169,19.62362328568997
0.01550858,0.6491382,18.846540828479498
0.013893711,0.64614636,19.418529861803727
0.013135615,0.64911395,19.719613238721962
0.014479498,0.64574313,19.199890261314145
0.014934267,0.6404559,19.042494677750568
0.01505479,0.6387581,19.000235144768634
0.014753587,0.643313,19.10482442600749
0.014999854,0.6468641,19.022896088728814
0.013745321,0.6448373,19.477042761826436
0.01645741,0.6434981,18.54241310571346
0.014776953,0.65077615,19.099591796739187
0.014991412,0.64819545,19.02579903230552
0.014402455,0.64956146,19.229680419272906
0.014078478,0.6452038,19.35142631346697
0.014500504,0.65071315,19.196925283247076
0.014200611,0.63902664,19.305224122081825
0.015356748,0.63794416,18.895259314150167
0.014770843,0.6375132,19.09572758245936
0.012874683,0.6472411,19.826420987188715
0.014121688,0.6418435,19.334081259802442
0.015834594,0.648861,18.741933003921872
0.01325441,0.6497198,19.669428288525946
0.013747698,0.6488282,19.4771897443605
0.013391174,0.6467245,19.614503221572974
