energy,ssim_indices,psnr_indices,fidelity
0.7974402,0.249795,11.620644682841546,56144.12
0.75040996,0.41797534,12.959728743622755,41765.703
0.74152184,0.45461753,13.67920320414633,35704.66
0.7429613,0.44813576,13.804201717654907,34740.78
0.7373229,0.46873534,14.622653196882268,29120.455
0.7394883,0.46935633,13.963691037692186,33544.477
0.73610425,0.47860715,14.202615747825757,31867.027
0.7361741,0.4781238,14.118219925329578,32454.61
0.73969966,0.47045186,13.734476059146118,35257.242
0.7363529,0.47650126,14.141498107126738,32298.203
0.7349067,0.4834175,14.364599719519491,30771.48
0.7348558,0.48265114,14.324569028756006,31040.643
0.7340301,0.4823294,14.611565699606404,29181.986
0.7336402,0.48162487,14.563164642311857,29492.324
0.73565704,0.4805065,14.34219921325143,30911.45
0.7323241,0.48512733,14.772069633054885,28207.629
0.7331273,0.48409462,14.833782879587227,27825.719
0.7311245,0.4900925,15.227432964542134,25581.266
0.72968274,0.49137855,15.516694480653754,24063.777
0.7329613,0.4822596,14.683510224748899,28735.344
0.7287679,0.49272916,15.611911791783557,23573.871
0.72988784,0.48969206,15.436850693889069,24474.633
0.7283832,0.49272797,15.45709376198469,24365.562
0.72867215,0.48794904,15.538339234203669,23940.41
0.72844315,0.49137583,15.559889306530739,23823.617
0.72750896,0.49445093,15.724917762277698,23011.594
0.7294766,0.48811805,15.419483130771134,24556.215
0.72905743,0.48747563,15.632127159919545,23474.969
0.72713566,0.49581793,15.722881255510906,23031.398
0.7283864,0.49302638,15.761705626189158,22835.188
0.72719824,0.4939569,16.037956805860027,21549.96
0.72744846,0.49609068,15.792997589412472,22693.139
0.7270807,0.49496493,15.776225419955573,22783.11
0.72895896,0.4895021,15.540765838250705,23931.88
0.7243843,0.5017681,16.176876846376093,20940.828
0.7256936,0.49789825,15.912549353593686,22124.762
0.7233938,0.5002638,16.083969408244865,21352.916
0.72708446,0.4919289,15.563844358954873,23818.543
0.7236756,0.49757826,15.934287418491122,22029.232
0.7236866,0.49820876,15.923973335163295,22085.484
0.72372913,0.49520698,16.08383417579671,21349.727
0.72667724,0.4890475,15.70191206930922,23128.297
0.72265756,0.49883917,16.51679068766448,19505.05
0.7230594,0.4993839,16.404498575029073,19975.836
0.7247717,0.49539426,15.874336643264112,22303.797
0.7224311,0.5006895,16.005389060257656,21708.68
0.722645,0.49980554,16.220654352855867,20750.389
0.72420454,0.49001154,15.89147593040737,22217.201
0.72162884,0.50023633,16.144105516235147,21063.295
0.71959174,0.5070539,16.497881154961952,19579.777
0.71943724,0.5052354,16.301946351489242,20399.57
0.71941584,0.50592065,15.989392459349709,21774.877
0.7182633,0.50773853,16.45172052941618,19771.617
0.7181131,0.5095437,16.474116300245548,19692.184
0.7170569,0.5074267,16.230142656797874,20691.428
0.7145419,0.5083454,16.611306215117626,19121.855
0.7140378,0.5111747,16.494095936494574,19583.62
0.7215581,0.48861566,15.878608511696914,22280.68
0.71654516,0.5028441,16.374967025518337,20091.418
0.7182344,0.50461453,16.421821775129565,19904.766
0.7140754,0.51145333,16.671178516896653,18885.605
0.71676105,0.5071725,16.363103154445906,20138.04
0.7142106,0.5163792,16.638256949912112,19026.55
0.71460104,0.5107358,16.247661347964875,20638.48
0.7122625,0.51252484,16.639923880885558,19006.078
0.7107655,0.51642734,16.542588358206118,19385.316
0.7112872,0.5132432,16.414849259217203,19905.54
0.7104431,0.5124664,16.673989770343955,18870.836
0.71075606,0.5126436,16.547234813069267,19374.887
0.70802253,0.5245637,16.570222250120835,19277.363
0.7080872,0.52375406,16.60596572247057,19153.445
0.7107871,0.52001655,16.65905662766032,18935.012
0.7104901,0.5186254,16.838257318557424,18250.307
0.7072969,0.526918,17.359294301991156,16406.504
0.7060621,0.52395374,16.761355435497308,18547.777
0.7083365,0.5198824,16.87549420285009,18104.639
0.7086681,0.5195852,16.493141402072823,19595.227
0.7060848,0.52536887,16.73228816087358,18663.297
0.70836574,0.52175677,16.721410373214127,18687.287
0.70852154,0.5212686,16.900976099058436,18023.129
0.7065612,0.52191526,16.834107982427003,18266.648
0.7057407,0.5296411,17.100775404645606,17306.273
0.70698357,0.5243786,16.906705999878213,18000.77
0.7074684,0.52818197,16.979937840786288,17732.568
0.70523834,0.5295759,17.032543110090337,17547.168
0.70547056,0.5247298,16.62159586289906,19069.877
0.7086904,0.5143883,16.73211792321688,18655.324
0.70484996,0.5234892,16.99972317316115,17642.752
0.70461756,0.5238059,17.028984225565075,17554.672
0.7036793,0.5319462,17.37392442245928,16358.783
0.7043336,0.5296661,17.109393168444015,17257.195
0.70091033,0.53780323,17.653138944950257,15461.266
0.70224833,0.53421026,17.444796018832218,16128.546
