loss,ssim_indices,psnr_indices
-4.385513,0.13373315,11.081185686691828
-3.7169814,0.15421273,9.548357697675653
-4.1797314,0.18072563,10.46468898006123
-4.2856174,0.18490511,10.732766654567921
-4.429488,0.19151802,11.124800504569716
-4.5233903,0.19515963,11.410082290103166
-4.6131487,0.19852634,11.689417133557878
-4.537533,0.19535124,11.489062588438127
-4.7818246,0.20287912,12.243957342945922
-4.9080954,0.20974533,12.66616520512949
-4.8042793,0.21076061,12.248386379404401
-4.797838,0.21688884,12.197457397427648
-5.058834,0.2287631,13.129202723265998
-5.1120415,0.22525682,13.265015115327722
-5.105211,0.22069764,13.172299005696022
-4.956432,0.2142122,12.5933353927437
-5.1979766,0.23505163,13.573475743585846
-5.0204186,0.22569807,12.820219942538504
-5.30309,0.23365588,14.07284118168263
-5.30135,0.23100565,14.088814901731874
-5.2404246,0.23629399,13.817976469202726
-5.43716,0.23611821,14.892284436746577
-5.296501,0.22693424,14.079921616572404
-5.0702167,0.2262749,13.075330539690093
-5.4261527,0.24132995,14.841904079357668
-5.396199,0.24288751,14.703123939262571
-5.4226217,0.23522444,14.847179075161614
-5.454612,0.23026307,15.047324931722272
-5.506906,0.23709208,15.398469117226492
-5.4319687,0.23683341,14.905013500319184
-5.384664,0.2296112,14.551988611223559
-5.4757376,0.2404422,15.105021103302027
-5.5068674,0.24184977,15.243299908435858
-5.4071994,0.23486036,14.62350831879009
-5.4869623,0.23073275,15.048005949743901
-5.525842,0.23368293,15.304020986817342
-5.5138183,0.2335621,15.14320665715838
-5.530105,0.23345877,15.287033643194501
-5.4630966,0.22207476,14.836614091461707
-5.4913797,0.23117006,15.036989733998002
-5.494076,0.23074418,14.994736821657732
-5.445422,0.22880243,14.702546603570061
-5.52829,0.23182607,15.252085357364384
-5.462037,0.22312783,14.827762047029918
-5.5342956,0.23265909,15.365837694341934
-5.520277,0.22536285,15.283033494099612
-5.5434756,0.22749543,15.364499793260524
-5.5198126,0.2289917,15.265939177286212
-5.526769,0.2283424,15.31502627099539
-5.5412903,0.23612894,15.295283521650031
-5.5127172,0.23318417,15.170724715254199
-5.55842,0.23422666,15.478731315579235
-5.52696,0.23786215,15.336402009927134
-5.5765095,0.23684852,15.62095529349899
-5.5471077,0.23190399,15.46741918006401
-5.535634,0.23465943,15.379530137930931
-5.521884,0.23619175,15.23455686288486
-5.503971,0.23963256,15.150245084337184
-5.5647388,0.24137819,15.577697541377582
-5.499292,0.22563727,15.194031042442065
-5.5983047,0.24314682,15.856746479751742
-5.533721,0.23190318,15.430589447359393
-5.523912,0.23604816,15.311641337210222
-5.528818,0.23063622,15.30813287365513
-5.571471,0.24025305,15.573831577970319
-5.6471844,0.23551895,16.130822890050872
-5.494175,0.23533721,15.072397782541865
-5.593862,0.23938882,15.702492136328345
-5.574359,0.23176765,15.620275292896586
-5.6187506,0.23671414,15.924594133779824
-5.604807,0.23427548,15.827912538498563
-5.609096,0.23190767,15.808459049229073
-5.581148,0.23914732,15.55174926705261
-5.60369,0.23588276,15.715483319219267
-5.5963717,0.23998928,15.677910334493152
-5.579974,0.23265553,15.643588810260487
-5.617446,0.23852904,15.872261606702383
-5.646974,0.23613687,16.130764755044616
-5.60937,0.23729694,15.814130629349792
-5.5718575,0.22915626,15.618890527435623
-5.606429,0.23782538,15.801338193015857
-5.6383567,0.23527074,16.10621014829653
-5.555223,0.2333241,15.473192383284557
-5.6334567,0.23123588,16.023962783641135
-5.628195,0.23769538,15.894408156352497
-5.587278,0.23282836,15.561199759986856
-5.6046057,0.24161065,15.786684392614694
-5.600309,0.2381988,15.658308884028063
-5.6123238,0.2336268,15.831069740919105
-5.620838,0.23401159,15.930255345063495
-5.6263905,0.23369105,16.02484685516555
-5.6076427,0.23791717,15.855948651218863
-5.6146307,0.237872,15.910348185894271
-5.653927,0.239619,16.19753872713226
-5.640443,0.23529367,16.064815524971475
-5.609115,0.24070102,15.787738890560473
-5.637229,0.23795633,16.01819036246421
-5.5875487,0.24213916,15.598275104387515
-5.618854,0.23655963,15.919800194241995
-5.646635,0.24290818,16.093827889260446
-5.5985556,0.23513722,15.747188898391844
-5.6618075,0.23726253,16.21202221874195
-5.61832,0.2360359,15.866060404425157
-5.640972,0.23385541,16.03512020933873
-5.6158233,0.23237915,15.881866259586342
-5.624774,0.23142266,15.923472630403545
-5.637033,0.23040925,15.982492235720027
-5.6162367,0.23438762,15.790724773560163
-5.6079426,0.23004596,15.774393540115403
-5.6445346,0.23432271,16.016416249219898
-5.6590877,0.23313205,16.15842541122746
-5.621679,0.23309873,15.85285246234442
-5.6567106,0.24140887,16.10985062160576
-5.6284823,0.23414087,15.909077936652043
-5.647718,0.23242807,16.10201664569709
-5.635356,0.2378629,16.023367678990994
-5.6009197,0.23452531,15.774289578921152
-5.6094856,0.2338578,15.792409637004681
-5.6144514,0.23408145,15.844973560835031
-5.6639457,0.2378968,16.219297517443604
-5.594425,0.2368818,15.669498143278663
-5.6482673,0.22998422,16.139707800121244
-5.645605,0.23493439,16.112165478915955
-5.6136484,0.2293313,15.76849191863549
-5.6616974,0.23315684,16.205651812532892
-5.647681,0.23292887,16.103812893126698
-5.6729527,0.23266225,16.279054138154052
-5.6426425,0.23016532,16.05443050979745
-5.6628256,0.23256116,16.221018948691576
-5.6577425,0.23188299,16.157823156357015
-5.6747527,0.23263931,16.34831858866997
-5.629844,0.23200822,15.859151583701692
-5.6718955,0.23059751,16.261137682513922
-5.646993,0.23199606,15.99106544352207
-5.6430464,0.22533102,16.037399510654247
-5.662628,0.22886808,16.183954609377906
-5.636766,0.23125549,15.967519147769602
-5.6711245,0.22987969,16.203150215364612
-5.655465,0.23191787,16.060299042459395
-5.629794,0.23220308,15.905266655528152
-5.628208,0.23140454,15.833823330940572
-5.6461673,0.23263693,16.03195447751896
-5.683217,0.23601055,16.331240631833637
-5.6586103,0.23546152,16.138370450772253
-5.6709476,0.23731947,16.249600214523426
-5.6524963,0.23625804,16.140870218663025
-5.6628013,0.24174781,16.269488355598835
-5.6612406,0.23952205,16.241810250483255
-5.627185,0.24107592,15.998245451808927
-5.6603546,0.24272875,16.279841668633207
-5.684383,0.24342608,16.47178148081708
-5.6726007,0.2400624,16.40987834663035
-5.6575975,0.24478398,16.207900005756226
-5.677057,0.24549615,16.356667138687232
-5.6394267,0.2403691,16.031244393536966
-5.677849,0.24416433,16.35477922282826
-5.670597,0.2402621,16.314121844153966
-5.6430035,0.24252911,16.045030927672485
-5.712612,0.23952805,16.720124773916393
-5.676368,0.24001269,16.336441208983736
-5.6424537,0.22712468,16.003211093547247
-5.701465,0.2321804,16.503442403737417
