mse,ssim_indices,psnr_indices
0.06362291,0.25940478,12.708375413281992
0.07393973,0.2999095,11.945786891499822
0.06553808,0.3870089,12.555427440233151
0.07405251,0.40278026,11.937014639460855
0.057609152,0.43157968,13.22586004416652
0.054664455,0.44814816,13.501653506357602
0.04888606,0.45876598,14.104313909544901
0.049300995,0.45705327,14.057676048816187
0.047163725,0.46103618,14.301978155354442
0.046438467,0.4620657,14.388652736267451
0.047999255,0.4561944,14.208138580443826
0.04973284,0.4577348,14.014201328715416
0.046233036,0.46347865,14.413265861665899
0.044155054,0.466525,14.669517386413876
0.043787822,0.46491185,14.719161601323655
0.04204022,0.4705857,14.945875981152836
0.042557042,0.4678222,14.879873000530955
0.039339386,0.47285548,15.330400768528287
0.04190221,0.46685287,14.96770585202023
0.04161382,0.4684423,15.004680464512992
0.03840924,0.47143984,15.468895523381963
0.04058007,0.46870542,15.152493720676501
0.037792996,0.47600198,15.568122455719609
0.038924586,0.47034964,15.388625238784652
0.042033367,0.46895468,14.949875658918305
0.038773667,0.47399268,15.41255703628833
0.039936185,0.47204077,15.241728620205716
0.038710844,0.47458693,15.423319472977568
0.035591763,0.480834,15.922098552192768
0.037978183,0.47786033,15.53596486058758
0.036991578,0.47607067,15.695513030797377
0.038261086,0.47442305,15.492601147162313
0.036435056,0.47875646,15.782304154575556
0.03643526,0.4798033,15.784411960020721
0.03567724,0.47892097,15.908978030880952
0.03581252,0.48123112,15.883196039508153
0.039537273,0.47355834,15.30362522194803
0.03506599,0.48300353,16.017155540686684
0.034908988,0.4791061,16.038750709128525
0.035533544,0.4820272,15.930442468819315
0.035101034,0.48294082,16.00952857455907
0.03433745,0.48377612,16.142967140855884
0.034222655,0.4844303,16.1613907441907
0.036025994,0.47919607,15.849326089161565
0.034140315,0.48776212,16.173984780745837
0.035199475,0.4838681,15.986782381512793
0.03576373,0.4824431,15.890921004786067
0.03461101,0.48440447,16.09399518987589
0.034086287,0.48466897,16.192296977764858
0.034748033,0.48319665,16.071078298108304
0.03466899,0.48476908,16.082996365509036
0.033831537,0.4842521,16.23397618078615
0.03380128,0.48555717,16.23932821341708
0.03341673,0.4841416,16.30738410979052
0.03447051,0.48405778,16.11455090175497
0.033346653,0.48345152,16.32128097352357
0.032894813,0.48692527,16.412651781899758
0.03472868,0.4797851,16.07167910077884
0.033240654,0.486338,16.34426436289998
0.03273733,0.48584077,16.437439097075305
0.03399833,0.4842691,16.208284851419467
0.03421916,0.48554263,16.164597992822713
0.032350536,0.48957804,16.512184636201294
0.033569947,0.48536336,16.278522817208405
0.032475837,0.4886352,16.488400616862698
0.032014735,0.4888793,16.580506255175422
0.032779217,0.4886415,16.426643022160718
0.0317876,0.4919432,16.620696988440912
0.03325049,0.4879538,16.343803515588363
0.03402811,0.484423,16.194609148502742
0.03172233,0.49069557,16.63878250635587
0.031430483,0.4921299,16.69435925325921
0.032235157,0.4881834,16.531399980165137
0.031202517,0.49114004,16.739406543643106
0.031255897,0.49084806,16.73012544004913
0.032783333,0.48619285,16.426331071628507
0.032071143,0.48974046,16.567559017876402
0.031379748,0.49098098,16.707216523509526
0.031935487,0.49313805,16.59261472465301
0.03191654,0.4885409,16.597871713641908
0.03172533,0.49205217,16.639142708938166
0.03221911,0.4926436,16.536743163684026
0.03030745,0.49630228,16.928200121671665
0.032019757,0.488422,16.578468947246954
0.03183037,0.49108878,16.61075703604199
0.031089254,0.49138498,16.76458257627369
0.030917935,0.4907032,16.797995210466766
0.030898068,0.49518263,16.800567682499647
0.03250211,0.48743215,16.482923562935596
0.03321029,0.48395655,16.34811368585476
0.031470742,0.48963046,16.686398161282124
0.03061517,0.49249744,16.866564453066914
0.030272081,0.49518013,16.935424108303327
0.03082556,0.4960731,16.81963239482244
0.029735904,0.49763748,17.05307082099422
0.03170507,0.49736026,16.642969168669765
0.02990745,0.4964073,17.020975750263013
0.030989707,0.49780074,16.782082808066455
0.031030012,0.49387875,16.775952746377904
0.02958331,0.49691215,17.086731419832283
0.02993694,0.49611077,17.01066793689267
0.02969764,0.4939901,17.063872922483885
0.02947991,0.4989873,17.11355498262237
0.02935585,0.49649432,17.13821742022074
0.030763622,0.49344704,16.83173942235707
0.030791586,0.4939634,16.82865959996296
0.03065063,0.49479982,16.852888172100357
0.030206196,0.49294415,16.951492421255345
0.029072624,0.50035554,17.203160806648516
0.029377677,0.501324,17.134186810912343
0.029837143,0.49558604,17.03033041655068
0.029287025,0.50075775,17.153792292353913
0.029389523,0.49946976,17.134834042966563
0.029039621,0.5006325,17.21163822385358
0.030158412,0.49690866,16.966449958514
0.028985862,0.5012885,17.22332069391979
0.029370964,0.49630103,17.136387969312132
0.02991457,0.4970715,17.01993932209693
0.029081043,0.50001276,17.200411592680368
0.02894031,0.49486813,17.234297865826683
0.02848233,0.498979,17.335608014619762
0.029306222,0.49536857,17.15011318334382
0.02971837,0.49715912,17.057668877309567
0.027925124,0.500952,17.471988059728453
0.028131908,0.50014037,17.425472785333497
0.028795972,0.49652073,17.26885256909894
0.028402586,0.50041044,17.359235597446915
0.028219333,0.50299364,17.400984467425605
0.028998492,0.5024951,17.218582579811464
0.029523935,0.4972725,17.104264338179004
0.02743989,0.50747126,17.593133751502236
0.02772597,0.50462836,17.521456735523607
0.027456185,0.5074184,17.58898959483133
0.027169434,0.50668025,17.659058458447937
0.027905231,0.5036026,17.47932911827931
0.028917905,0.4973378,17.23876151753887
0.02772601,0.5045016,17.52316096784225
