energy,ssim_indices,psnr_indices,fidelity
0.94114393,0.2801555,12.791826877872216,59057.777
0.938449,0.38985565,13.449603607341894,53263.71
0.937819,0.43100914,13.547003799190074,52467.715
0.9375847,0.44680998,13.533493562055485,52578.055
0.9359614,0.46156192,14.321668645414015,46781.566
0.9361484,0.4613769,13.914169628539012,49635.43
0.9361712,0.46824014,13.882738423010592,49847.664
0.9363434,0.46929708,13.857108211101412,50024.21
0.93588376,0.4795185,14.207039480879928,47515.74
0.93592,0.4768944,13.85914781865069,50011.32
0.93550366,0.47825447,14.098715440416495,48297.883
0.93614954,0.46940288,13.571593881808129,52235.09
0.9353034,0.47795275,14.15959179579287,47833.18
0.93499947,0.47938597,14.241781017391395,47290.867
0.9351325,0.47922364,14.472741382385435,45776.47
0.9351022,0.47562337,14.568551029451683,45147.61
0.93438375,0.4825789,14.966496724880706,42780.523
0.9351205,0.46959236,14.67715167998188,44525.195
0.9342894,0.47359693,15.14090119311046,41756.71
0.93421674,0.476419,14.944023998969914,42861.973
0.9343559,0.47208837,14.7828005636826,43826.656
0.93367124,0.48319638,15.128898336134304,41824.65
0.9333895,0.47384772,15.225974288636717,41334.887
0.9335074,0.47758663,15.040178121989495,42328.17
0.93277496,0.47744092,15.36947068709071,40595.227
0.9335053,0.47401655,14.728422887951012,44226.863
0.9329703,0.47046244,15.228900049565121,41299.688
0.93337995,0.47002164,14.749861626718912,44068.465
0.93299556,0.46915486,14.848730086326999,43438.895
0.933087,0.47539282,14.881377294271704,43204.258
0.9327897,0.48015055,15.139427680625646,41767.86
0.93198264,0.48177207,15.575476744746537,39498.605
0.93169713,0.4833002,15.43025271919795,40212.16
0.93228334,0.47706977,15.14462105975114,41737.562
0.9314363,0.4802165,15.49983121867305,39849.844
0.93173635,0.4801781,15.166797945123191,41597.137
0.93319285,0.4587306,14.60831747726181,44935.14
0.9310456,0.4783107,15.008268157844666,42529.17
0.93107915,0.47043857,14.797141500625099,43715.793
0.929345,0.47210774,15.340287495877618,40641.93
0.9297562,0.47021353,14.58678880297156,45032.316
0.9283149,0.48031616,14.888565746248382,43222.477
0.9276774,0.47419277,14.934392987583646,42931.703
0.9315572,0.4547062,14.211495170175574,47616.89
0.92942286,0.46064094,14.785696917520406,43797.598
0.9288643,0.44716525,14.103435389240591,48299.188
0.9283788,0.4706281,14.43624785158995,46107.71
0.9278517,0.47817746,15.258672245686082,41150.562
0.9280359,0.47355023,14.432887477842273,46094.758
0.9261318,0.47124282,14.903220280675713,43078.344
0.92726994,0.47492632,14.23389502846258,47417.07
0.926595,0.4744149,14.708650986419904,44306.945
0.9269475,0.4634515,14.625820790009872,44759.418
0.9256755,0.4705062,14.982687246405732,42641.32
0.92603904,0.48079267,14.46336631150314,45898.47
0.9270857,0.46845385,14.639442199107055,44685.7
0.92742395,0.4720486,14.751557637122882,44030.06
0.92586124,0.47378325,14.905447218090801,43173.75
0.9267131,0.47038522,14.584300041829689,45059.082
0.9274117,0.4684999,14.178298441230057,47688.957
0.9260035,0.48238507,14.501219218783952,45603.45
0.92475086,0.47749567,14.786006896159687,43831.215
0.92446786,0.47726688,14.489727852166382,45677.254
0.92436713,0.47536337,14.578220461200642,45073.69
0.92528623,0.46448365,14.288014152862276,46962.52
0.92393863,0.47263095,15.011100013797389,42567.188
0.922701,0.47275364,15.197635466970553,41455.633
0.9230814,0.48057804,15.27938581817142,41012.637
0.9207309,0.486267,15.969488239529957,37590.42
0.92244506,0.48443782,15.20879203434079,41367.266
